Starttime;SettlementDeadline;TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode
2024-03-06 19:20:00;2024-03-06;7012;2024-03-06 05:39:14;418374926.07;24;1;2;1;454
2024-03-06 19:20:00;2024-03-06;8431;2024-03-06 18:52:27;418374926.07;2;0;24;0;454
2024-03-06 19:20:00;2024-03-05;4130;2024-03-05 07:10:26;329580313.76;7;0;2;0;1300
2024-03-06 19:20:00;2024-03-05;5166;2024-03-05 16:04:45;329580313.76;2;1;7;1;1300
2024-03-06 19:20:00;2024-03-04;807;2024-03-04 04:18:04;462354160.56;2;1;27;1;22
2024-03-06 19:20:00;2024-03-04;6047;2024-03-05 23:41:16;462354160.56;27;0;2;0;22
2024-03-06 19:20:00;2024-03-05;2281;2024-03-04 17:48:29;268955425.29;2;7;7;7;5431
2024-03-06 19:20:00;2024-03-05;5256;2024-03-05 16:45:06;268955425.29;7;0;2;0;5431
2024-03-06 19:20:00;2024-03-05;3383;2024-03-05 01:08:33;296442305.26;2;7;27;7;5913
2024-03-06 19:20:00;2024-03-05;7198;2024-03-06 07:25:16;296442305.26;27;0;2;0;5913
2024-03-06 19:20:00;2024-03-06;3794;2024-03-05 04:07:28;361427463.66;2;2;27;2;1433
2024-03-06 19:20:00;2024-03-06;7485;2024-03-06 10:03:15;361427463.66;27;0;2;0;1433
2024-03-06 19:20:00;2024-03-05;3525;2024-03-05 01:46:06;153997599.84;12;2;20;2;3627
2024-03-06 19:20:00;2024-03-05;4120;2024-03-05 07:02:31;153997599.84;20;0;12;0;3627
2024-03-06 19:20:00;2024-03-06;5092;2024-03-05 15:27:21;118333690.02;20;0;12;0;4139
2024-03-06 19:20:00;2024-03-06;7913;2024-03-06 13:56:43;118333690.02;12;2;20;2;4139
2024-03-06 19:20:00;2024-03-06;6979;2024-03-06 05:21:04;371967783.22;7;0;20;0;2144
2024-03-06 19:20:00;2024-03-06;8184;2024-03-06 16:31:49;371967783.22;20;6;7;6;2144
2024-03-06 19:20:00;2024-03-05;3700;2024-03-05 03:15:35;229664561.0;24;4;11;4;1670
2024-03-06 19:20:00;2024-03-05;4514;2024-03-05 10:35:05;229664561.0;11;0;24;0;1670
2024-03-06 19:20:00;2024-03-06;3768;2024-03-05 03:53:52;414541313.92;27;0;11;0;7097
2024-03-06 19:20:00;2024-03-06;6292;2024-03-06 00:38:59;414541313.92;11;3;27;3;7097
2024-03-06 19:20:00;2024-03-06;3337;2024-03-05 01:00:37;239121035.62;1;4;15;4;2889
2024-03-06 19:20:00;2024-03-06;5696;2024-03-05 20:30:42;239121035.62;15;0;1;0;2889
2024-03-06 19:20:00;2024-03-05;2123;2024-03-04 16:21:37;295260878.09;7;0;21;0;1313
2024-03-06 19:20:00;2024-03-05;6077;2024-03-05 23:56:38;295260878.09;21;1;7;1;1313
2024-03-06 19:20:00;2024-03-06;7692;2024-03-06 12:02:50;63668951.88;13;0;21;0;4689
2024-03-06 19:20:00;2024-03-06;8104;2024-03-06 15:40:52;63668951.88;21;6;13;6;4689
2024-03-06 19:20:00;2024-03-05;3330;2024-03-05 00:59:19;106044769.38;27;0;5;0;4571
2024-03-06 19:20:00;2024-03-05;5813;2024-03-05 21:44:56;106044769.38;5;2;27;2;4571
2024-03-06 19:20:00;2024-03-05;3008;2024-03-05 00:04:21;281613560.27;16;6;7;6;5120
2024-03-06 19:20:00;2024-03-05;4078;2024-03-05 06:43:16;281613560.27;7;0;16;0;5120
2024-03-06 19:20:00;2024-03-04;2203;2024-03-04 16:55:37;348605832.19;16;7;7;7;215
2024-03-06 19:20:00;2024-03-04;5698;2024-03-05 20:32:15;348605832.19;7;0;16;0;215
2024-03-06 19:20:00;2024-03-05;3192;2024-03-05 00:35:55;397972765.84;7;0;16;0;1044
2024-03-06 19:20:00;2024-03-05;5617;2024-03-05 19:45:18;397972765.84;16;3;7;3;1044
2024-03-06 19:20:00;2024-03-05;4281;2024-03-05 08:34:55;65636872.34;17;1;27;1;1110
2024-03-06 19:20:00;2024-03-05;8312;2024-03-06 17:40:04;65636872.34;27;0;17;0;1110
2024-03-06 19:20:00;2024-03-05;3956;2024-03-05 05:40:17;108234238.25;3;3;7;3;6183
2024-03-06 19:20:00;2024-03-05;5812;2024-03-05 21:44:40;108234238.25;7;0;3;0;6183
2024-03-06 19:20:00;2024-03-06;4960;2024-03-05 14:22:22;136195505.58;7;0;3;0;6932
2024-03-06 19:20:00;2024-03-06;6094;2024-03-06 00:01:36;136195505.58;3;7;7;7;6932
2024-03-06 19:20:00;2024-03-05;3046;2024-03-05 00:11:39;43851277.32;8;0;14;0;3505
2024-03-06 19:20:00;2024-03-05;5212;2024-03-05 16:24:28;43851277.32;14;7;8;7;3505
2024-03-06 19:20:00;2024-03-05;4902;2024-03-05 13:58:01;61886101.73;8;0;5;0;1134
2024-03-06 19:20:00;2024-03-05;5789;2024-03-05 21:28:54;61886101.73;5;1;8;1;1134
2024-03-06 19:20:00;2024-03-06;7881;2024-03-06 13:39:14;241069694.02;4;0;8;0;1160
2024-03-06 19:20:00;2024-03-06;8174;2024-03-06 16:23:54;241069694.02;8;3;4;3;1160
2024-03-06 19:20:00;2024-03-06;6963;2024-03-06 05:08:41;411193627.21;25;5;7;5;1926
2024-03-06 19:20:00;2024-03-06;7611;2024-03-06 11:10:23;411193627.21;7;0;25;0;1926
2024-03-06 19:20:00;2024-03-04;886;2024-03-04 05:01:27;41303028.01;14;7;27;7;4760
2024-03-06 19:20:00;2024-03-04;1968;2024-03-04 15:01:58;41303028.01;27;0;14;0;4760
2024-03-06 19:20:00;2024-03-05;1818;2024-03-04 13:25:29;80321892.03;27;0;14;0;360
2024-03-06 19:20:00;2024-03-05;2606;2024-03-04 20:35:01;80321892.03;14;7;27;7;360
2024-03-06 19:20:00;2024-03-05;3939;2024-03-05 05:30:38;317244459.2;24;4;7;4;1195
2024-03-06 19:20:00;2024-03-05;4316;2024-03-05 08:54:43;317244459.2;7;0;24;0;1195
2024-03-06 19:20:00;2024-03-04;2185;2024-03-04 16:47:52;367399200.83;6;6;7;6;411
2024-03-06 19:20:00;2024-03-04;4853;2024-03-05 13:32:13;367399200.83;7;0;6;0;411
2024-03-06 19:20:00;2024-03-05;5360;2024-03-05 17:37:54;263769554.34;28;2;7;2;1273
2024-03-06 19:20:00;2024-03-05;5422;2024-03-05 18:07:31;263769554.34;7;0;28;0;1273
2024-03-06 19:20:00;2024-03-06;1774;2024-03-04 13:01:33;367264809.81;29;6;7;6;5387
2024-03-06 19:20:00;2024-03-06;5756;2024-03-05 21:09:12;367264809.81;7;0;29;0;5387
2024-03-06 19:20:00;2024-03-06;4382;2024-03-05 09:34:18;263006628.46;29;8;7;8;1878
2024-03-06 19:20:00;2024-03-06;5763;2024-03-05 21:11:03;263006628.46;7;0;29;0;1878
2024-03-06 19:20:00;2024-03-06;3290;2024-03-05 00:53:01;412023083.34;7;0;26;0;4198
2024-03-06 19:20:00;2024-03-06;5825;2024-03-05 21:50:33;412023083.34;26;4;7;4;4198
2024-03-06 19:20:00;2024-03-05;4806;2024-03-05 13:06:16;77111296.64;9;4;7;4;2509
2024-03-06 19:20:00;2024-03-05;6123;2024-03-06 00:07:07;77111296.64;7;0;9;0;2509
2024-03-06 19:20:00;2024-03-06;6234;2024-03-06 00:26:56;330410739.97;27;8;7;8;4375
2024-03-06 19:20:00;2024-03-06;6262;2024-03-06 00:33:21;330410739.97;7;0;27;0;4375
2024-03-06 19:20:00;2024-03-06;5999;2024-03-05 23:18:58;313476668.95;7;0;13;0;4752
2024-03-06 19:20:00;2024-03-06;7375;2024-03-06 09:07:21;313476668.95;13;6;7;6;4752
2024-03-06 19:20:00;2024-03-05;5678;2024-03-05 20:19:19;53890381.22;7;0;23;0;1000
2024-03-06 19:20:00;2024-03-05;7761;2024-03-06 12:37:06;53890381.22;23;2;7;2;1000
2024-03-06 19:20:00;2024-03-06;7587;2024-03-06 10:57:37;318731410.92;12;1;7;1;4609
2024-03-06 19:20:00;2024-03-06;7940;2024-03-06 14:10:36;318731410.92;7;0;12;0;4609
2024-03-06 19:20:00;2024-03-06;6161;2024-03-06 00:14:06;297799157.27;7;0;6;0;4769
2024-03-06 19:20:00;2024-03-06;8206;2024-03-06 16:44:03;297799157.27;6;8;7;8;4769
2024-03-06 19:20:00;2024-03-06;3560;2024-03-05 02:02:27;86861136.01;27;0;7;0;2863
2024-03-06 19:20:00;2024-03-06;6079;2024-03-05 23:57:28;86861136.01;7;2;27;2;2863
2024-03-06 19:20:00;2024-03-06;6546;2024-03-06 01:23:38;177960654.52;12;6;27;6;2932
2024-03-06 19:20:00;2024-03-06;7465;2024-03-06 09:53:44;177960654.52;27;0;12;0;2932
2024-03-06 19:20:00;2024-03-06;3587;2024-03-05 02:15:02;343659468.79;27;0;12;0;4021
2024-03-06 19:20:00;2024-03-06;7321;2024-03-06 08:33:11;343659468.79;12;1;27;1;4021
2024-03-06 19:20:00;2024-03-05;3538;2024-03-05 01:52:18;61100586.3;5;1;12;1;603
2024-03-06 19:20:00;2024-03-05;3748;2024-03-05 03:41:35;61100586.3;12;0;5;0;603
2024-03-06 19:20:00;2024-03-04;1160;2024-03-04 07:22:57;422173547.34;12;2;27;2;1512
2024-03-06 19:20:00;2024-03-04;2860;2024-03-04 22:56:09;422173547.34;27;0;12;0;1512
2024-03-06 19:20:00;2024-03-05;827;2024-03-04 04:28:39;180404831.85;12;2;28;2;2757
2024-03-06 19:20:00;2024-03-05;5464;2024-03-05 18:25:27;180404831.85;28;0;12;0;2757
2024-03-06 19:20:00;2024-03-04;1168;2024-03-04 07:26:14;150580577.42;12;2;28;2;2415
2024-03-06 19:20:00;2024-03-04;5594;2024-03-05 19:29:12;150580577.42;28;0;12;0;2415
2024-03-06 19:20:00;2024-03-05;1080;2024-03-04 06:41:52;162664291.68;4;0;12;0;4105
2024-03-06 19:20:00;2024-03-05;5599;2024-03-05 19:34:41;162664291.68;12;2;4;2;4105
2024-03-06 19:20:00;2024-03-05;4136;2024-03-05 07:14:24;92589601.64;1;0;12;0;1002
2024-03-06 19:20:00;2024-03-05;5661;2024-03-05 20:11:16;92589601.64;12;2;1;2;1002
2024-03-06 19:20:00;2024-03-04;401;2024-03-04 01:12:32;120750156.65;26;0;5;0;1931
2024-03-06 19:20:00;2024-03-04;4292;2024-03-05 08:42:02;120750156.65;5;1;26;1;1931
2024-03-06 19:20:00;2024-03-05;3613;2024-03-05 02:28:45;186082528.26;23;0;26;0;6054
2024-03-06 19:20:00;2024-03-05;6732;2024-03-06 02:57:49;186082528.26;26;5;23;5;6054
2024-03-06 19:20:00;2024-03-06;7437;2024-03-06 09:37:51;240447925.52;28;3;4;3;4383
2024-03-06 19:20:00;2024-03-06;7905;2024-03-06 13:51:03;240447925.52;4;0;28;0;4383
2024-03-06 19:20:00;2024-03-06;3422;2024-03-05 01:16:37;80823646.47;1;0;5;0;3754
2024-03-06 19:20:00;2024-03-06;5905;2024-03-05 22:33:01;80823646.47;5;1;1;1;3754
2024-03-06 19:20:00;2024-03-05;4404;2024-03-05 09:44:04;290146376.96;1;3;4;3;6961
2024-03-06 19:20:00;2024-03-05;8057;2024-03-06 15:18:06;290146376.96;4;0;1;0;6961
2024-03-06 19:20:00;2024-03-06;6595;2024-03-06 01:31:01;151355706.52;1;4;9;4;888
2024-03-06 19:20:00;2024-03-06;7506;2024-03-06 10:13:57;151355706.52;9;0;1;0;888
2024-03-06 19:20:00;2024-03-06;7481;2024-03-06 10:00:55;142800849.41;22;3;27;3;6914
2024-03-06 19:20:00;2024-03-06;8362;2024-03-06 18:08:40;142800849.41;27;0;22;0;6914
2024-03-06 19:20:00;2024-03-05;4180;2024-03-05 07:40:23;210638673.59;13;7;23;7;1574
2024-03-06 19:20:00;2024-03-05;5496;2024-03-05 18:45:31;210638673.59;23;0;13;0;1574
2024-03-06 19:20:00;2024-03-06;6294;2024-03-06 00:39:17;243946406.85;4;0;18;0;3948
2024-03-06 19:20:00;2024-03-06;6677;2024-03-06 02:25:50;243946406.85;18;7;4;7;3948
2024-03-06 19:20:00;2024-03-06;6389;2024-03-06 00:57:06;188364752.87;10;1;4;1;6956
2024-03-06 19:20:00;2024-03-06;6745;2024-03-06 03:07:19;188364752.87;4;0;10;0;6956
2024-03-06 19:20:00;2024-03-05;5041;2024-03-05 15:02:07;239855015.53;4;0;27;0;2177
2024-03-06 19:20:00;2024-03-05;7061;2024-03-06 06:03:59;239855015.53;27;8;4;8;2177
2024-03-06 19:20:00;2024-03-05;5381;2024-03-05 17:45:55;229726712.35;4;0;9;0;5454
2024-03-06 19:20:00;2024-03-05;7148;2024-03-06 06:58:22;229726712.35;9;1;4;1;5454
2024-03-06 19:20:00;2024-03-06;6218;2024-03-06 00:23:08;165459875.19;4;0;23;0;4639
2024-03-06 19:20:00;2024-03-06;8152;2024-03-06 16:10:13;165459875.19;23;6;4;6;4639
2024-03-06 19:20:00;2024-03-04;1966;2024-03-04 15:01:48;203354914.88;27;0;5;0;4695
2024-03-06 19:20:00;2024-03-04;4073;2024-03-05 06:40:54;203354914.88;5;1;27;1;4695
2024-03-06 19:20:00;2024-03-06;6376;2024-03-06 00:55:07;430938968.8;27;0;29;0;2459
2024-03-06 19:20:00;2024-03-06;7532;2024-03-06 10:27:35;430938968.8;29;8;27;8;2459
2024-03-06 19:20:00;2024-03-06;6274;2024-03-06 00:35:20;98972899.34;27;0;10;0;1750
2024-03-06 19:20:00;2024-03-06;8085;2024-03-06 15:29:38;98972899.34;10;7;27;7;1750
2024-03-06 19:20:00;2024-03-06;6378;2024-03-06 00:55:20;470177065.73;6;2;27;2;3053
2024-03-06 19:20:00;2024-03-06;8117;2024-03-06 15:47:34;470177065.73;27;0;6;0;3053
2024-03-06 19:20:00;2024-03-06;4542;2024-03-05 10:51:35;403046608.39;29;5;27;5;9
2024-03-06 19:20:00;2024-03-06;8118;2024-03-06 15:48:12;403046608.39;27;0;29;0;9
2024-03-06 19:24:23;2024-03-06;7763;2024-03-06 12:39:07;129591926.6;19;0;21;0;1240
2024-03-06 19:24:23;2024-03-06;8479;2024-03-06 19:24:19;129591926.6;21;6;19;6;1240
