SettlementDeadline;TID;Time;Value;FromParticipantId;FromAccountId;ToParticipantId;ToAccountId;Linkcode;Starttime
2024-03-09;14512;2024-03-08 19:46:54;94926349.28;24;6;30;6;1562;2024-03-08 19:46:56
2024-03-09;14058;2024-03-08 15:49:11;98791852.68;9;0;17;0;1921;2024-03-08 19:48:56
2024-03-09;14513;2024-03-08 19:48:54;98791852.68;17;2;9;2;1921;2024-03-08 19:48:56
2024-03-07;11459;2024-03-07 19:11:46;68392667.57;30;0;5;0;3346;2024-03-08 19:49:14
2024-03-07;14514;2024-03-08 19:49:12;68392667.57;5;7;30;7;3346;2024-03-08 19:49:14
2024-03-09;10998;2024-03-07 15:08:19;34432122.42;29;0;17;0;2267;2024-03-08 19:49:19
2024-03-09;14515;2024-03-08 19:49:17;34432122.42;17;2;29;2;2267;2024-03-08 19:49:19
2024-03-08;12838;2024-03-08 04:52:47;95629304.23;14;1;10;1;1377;2024-03-08 19:50:23
2024-03-08;14516;2024-03-08 19:50:21;95629304.23;10;0;14;0;1377;2024-03-08 19:50:23
2024-03-07;10713;2024-03-07 12:20:51;129309038.12;3;1;18;1;6076;2024-03-08 19:51:14
2024-03-07;14517;2024-03-08 19:51:12;129309038.12;18;0;3;0;6076;2024-03-08 19:51:14
2024-03-08;12811;2024-03-08 04:36:22;131835113.26;5;7;18;7;1741;2024-03-08 19:51:32
2024-03-08;14518;2024-03-08 19:51:30;131835113.26;18;0;5;0;1741;2024-03-08 19:51:32
2024-03-08;13454;2024-03-08 10:11:49;11124852.87;15;2;8;2;124;2024-03-08 19:51:57
2024-03-08;14519;2024-03-08 19:51:55;11124852.87;8;0;15;0;124;2024-03-08 19:51:57
2024-03-08;13387;2024-03-08 09:43:54;117533723.05;21;0;1;0;4584;2024-03-08 19:52:19
2024-03-08;14520;2024-03-08 19:52:17;117533723.05;1;5;21;5;4584;2024-03-08 19:52:19
2024-03-08;14466;2024-03-08 19:28:00;410024014.39;9;5;2;5;2421;2024-03-08 19:52:56
2024-03-08;14521;2024-03-08 19:52:54;410024014.39;2;0;9;0;2421;2024-03-08 19:52:56
2024-03-08;12177;2024-03-08 00:34:04;225416881.67;16;0;14;0;591;2024-03-08 19:53:45
2024-03-08;14522;2024-03-08 19:53:43;225416881.67;14;3;16;3;591;2024-03-08 19:53:45
2024-03-08;13158;2024-03-08 07:37:18;27145150.14;3;8;2;8;1938;2024-03-08 19:54:38
2024-03-08;14523;2024-03-08 19:54:36;27145150.14;2;0;3;0;1938;2024-03-08 19:54:38
2024-03-08;12553;2024-03-08 02:08:40;77313675.16;28;4;13;4;4922;2024-03-08 19:54:40
2024-03-08;14524;2024-03-08 19:54:38;77313675.16;13;0;28;0;4922;2024-03-08 19:54:40
2024-03-09;13621;2024-03-08 11:49:57;154472004.29;3;0;13;0;4618;2024-03-08 19:55:43
2024-03-09;14525;2024-03-08 19:55:41;154472004.29;13;2;3;2;4618;2024-03-08 19:55:43
2024-03-08;14249;2024-03-08 17:33:37;138813619.95;4;3;24;3;5678;2024-03-08 19:56:13
2024-03-08;14526;2024-03-08 19:56:11;138813619.95;24;0;4;0;5678;2024-03-08 19:56:13
2024-03-09;14002;2024-03-08 15:15:48;221542915.29;15;0;21;0;3489;2024-03-08 19:56:18
2024-03-09;14527;2024-03-08 19:56:16;221542915.29;21;5;15;5;3489;2024-03-08 19:56:18
2024-03-08;12934;2024-03-08 05:45:48;142915224.96;18;4;24;4;4767;2024-03-08 19:57:35
2024-03-08;14528;2024-03-08 19:57:33;142915224.96;24;0;18;0;4767;2024-03-08 19:57:35
2024-03-07;10520;2024-03-07 10:31:56;50849551.07;13;1;29;1;4388;2024-03-08 19:58:46
2024-03-07;14529;2024-03-08 19:58:44;50849551.07;29;0;13;0;4388;2024-03-08 19:58:46
2024-03-09;13413;2024-03-08 09:55:06;123300671.76;15;3;22;3;3159;2024-03-08 19:58:58
2024-03-09;14530;2024-03-08 19:58:56;123300671.76;22;0;15;0;3159;2024-03-08 19:58:58
2024-03-09;12205;2024-03-08 00:38:55;207100606.36;17;0;12;0;7260;2024-03-08 19:59:01
2024-03-09;14531;2024-03-08 19:58:59;207100606.36;12;2;17;2;7260;2024-03-08 19:59:01
2024-03-08;13229;2024-03-08 08:21:26;8849698.89;4;2;22;2;5308;2024-03-08 19:59:30
2024-03-08;14532;2024-03-08 19:59:28;8849698.89;22;0;4;0;5308;2024-03-08 19:59:30
2024-03-09;14106;2024-03-08 16:16:58;17147693.01;24;1;10;1;2315;2024-03-08 20:00:18
2024-03-09;14533;2024-03-08 20:00:16;17147693.01;10;0;24;0;2315;2024-03-08 20:00:18
2024-03-08;12782;2024-03-08 04:21:11;46857279.97;23;0;24;0;5855;2024-03-08 20:00:34
2024-03-08;14534;2024-03-08 20:00:32;46857279.97;24;7;23;7;5855;2024-03-08 20:00:34
2024-03-08;14286;2024-03-08 17:55:27;173026220.85;7;0;19;0;2100;2024-03-08 20:02:12
2024-03-08;14535;2024-03-08 20:02:10;173026220.85;19;1;7;1;2100;2024-03-08 20:02:12
2024-03-09;13057;2024-03-08 06:47:06;361614112.58;27;0;6;0;7419;2024-03-08 20:02:32
2024-03-09;14536;2024-03-08 20:02:30;361614112.58;6;3;27;3;7419;2024-03-08 20:02:32
2024-03-08;12251;2024-03-08 00:47:30;189957773.23;27;4;19;4;5990;2024-03-08 20:02:52
2024-03-08;14537;2024-03-08 20:02:50;189957773.23;19;0;27;0;5990;2024-03-08 20:02:52
2024-03-08;12433;2024-03-08 01:21:50;174949305.71;25;8;30;8;2237;2024-03-08 20:05:47
2024-03-08;14540;2024-03-08 20:05:45;174949305.71;30;0;25;0;2237;2024-03-08 20:05:47
2024-03-09;12039;2024-03-08 00:06:16;76997276.01;24;0;6;0;5034;2024-03-08 20:05:52
2024-03-09;14542;2024-03-08 20:05:50;76997276.01;6;7;24;7;5034;2024-03-08 20:05:52
2024-03-09;14197;2024-03-08 17:07:13;104476248.82;17;0;14;0;3065;2024-03-08 20:06:07
2024-03-09;14543;2024-03-08 20:06:05;104476248.82;14;2;17;2;3065;2024-03-08 20:06:07
2024-03-09;12594;2024-03-08 02:29:21;57463093.44;6;0;2;0;40;2024-03-08 20:06:56
2024-03-09;14544;2024-03-08 20:06:54;57463093.44;2;2;6;2;40;2024-03-08 20:06:56
2024-03-10;14036;2024-03-08 15:36:31;293019635.85;9;6;4;6;1645;2024-03-08 20:06:56
2024-03-10;14545;2024-03-08 20:06:54;293019635.85;4;0;9;0;1645;2024-03-08 20:06:56
2024-03-07;11783;2024-03-07 22:00:06;139071222.86;26;0;20;0;397;2024-03-08 20:07:28
2024-03-07;14546;2024-03-08 20:07:26;139071222.86;20;8;26;8;397;2024-03-08 20:07:28
2024-03-10;12029;2024-03-08 00:04:36;94242857.89;13;0;23;0;3095;2024-03-08 20:08:13
2024-03-10;14547;2024-03-08 20:08:11;94242857.89;23;1;13;1;3095;2024-03-08 20:08:13
2024-03-09;12944;2024-03-08 05:55:12;30136040.86;14;0;2;0;7325;2024-03-08 20:09:16
2024-03-09;14548;2024-03-08 20:09:14;30136040.86;2;3;14;3;7325;2024-03-08 20:09:16
2024-03-08;13503;2024-03-08 10:34:50;99730700.27;21;0;7;0;4244;2024-03-08 20:09:56
2024-03-08;14549;2024-03-08 20:09:54;99730700.27;7;8;21;8;4244;2024-03-08 20:09:56
2024-03-10;13488;2024-03-08 10:27:45;59652240.61;1;0;2;0;4670;2024-03-08 20:10:24
2024-03-10;14550;2024-03-08 20:10:22;59652240.61;2;1;1;1;4670;2024-03-08 20:10:24
2024-03-08;14103;2024-03-08 16:15:56;55675727.34;7;0;23;0;1262;2024-03-08 20:10:57
2024-03-08;14551;2024-03-08 20:10:55;55675727.34;23;2;7;2;1262;2024-03-08 20:10:57
2024-03-09;12318;2024-03-08 00:59:49;69822281.88;25;0;2;0;3139;2024-03-08 20:13:14
2024-03-09;14552;2024-03-08 20:13:12;69822281.88;2;5;25;5;3139;2024-03-08 20:13:14
2024-03-09;12043;2024-03-08 00:07:38;238306827.27;23;2;27;2;3975;2024-03-08 20:13:28
2024-03-09;14553;2024-03-08 20:13:26;238306827.27;27;0;23;0;3975;2024-03-08 20:13:28
2024-03-10;12633;2024-03-08 02:53:17;112593615.52;11;0;21;0;1984;2024-03-08 20:13:37
2024-03-10;14554;2024-03-08 20:13:35;112593615.52;21;3;11;3;1984;2024-03-08 20:13:37
2024-03-08;12922;2024-03-08 05:37:32;159699690.32;10;2;25;2;972;2024-03-08 20:14:01
2024-03-08;14556;2024-03-08 20:13:59;159699690.32;25;0;10;0;972;2024-03-08 20:14:01
2024-03-08;13521;2024-03-08 10:52:19;31497496.73;15;1;9;1;1959;2024-03-08 20:14:47
2024-03-08;14557;2024-03-08 20:14:45;31497496.73;9;0;15;0;1959;2024-03-08 20:14:47
2024-03-08;12666;2024-03-08 03:16:15;29755769.26;14;4;10;4;752;2024-03-08 20:15:39
2024-03-08;14558;2024-03-08 20:15:37;29755769.26;10;0;14;0;752;2024-03-08 20:15:39
2024-03-08;13416;2024-03-08 09:55:36;68233714.77;6;0;20;0;1825;2024-03-08 20:16:34
2024-03-08;14559;2024-03-08 20:16:32;68233714.77;20;6;6;6;1825;2024-03-08 20:16:34
2024-03-08;13573;2024-03-08 11:21:12;92232718.02;11;3;28;3;2477;2024-03-08 20:16:36
2024-03-08;14560;2024-03-08 20:16:34;92232718.02;28;0;11;0;2477;2024-03-08 20:16:36
2024-03-08;12647;2024-03-08 03:03:26;55269812.52;1;0;29;0;704;2024-03-08 20:16:37
2024-03-08;14561;2024-03-08 20:16:35;55269812.52;29;4;1;4;704;2024-03-08 20:16:37
2024-03-09;14377;2024-03-08 18:43:33;94707837.88;27;8;16;8;3609;2024-03-08 20:17:20
2024-03-09;14562;2024-03-08 20:17:18;94707837.88;16;0;27;0;3609;2024-03-08 20:17:20
2024-03-07;10084;2024-03-07 06:37:50;163946188.74;6;4;18;4;7482;2024-03-08 20:17:37
2024-03-07;14563;2024-03-08 20:17:35;163946188.74;18;0;6;0;7482;2024-03-08 20:17:37
2024-03-09;12109;2024-03-08 00:19:45;149215486.62;2;7;11;7;5420;2024-03-08 20:17:53
2024-03-09;14564;2024-03-08 20:17:51;149215486.62;11;0;2;0;5420;2024-03-08 20:17:53
2024-03-09;12679;2024-03-08 03:21:05;63212389.74;2;4;12;4;5312;2024-03-08 20:19:08
2024-03-09;14565;2024-03-08 20:19:06;63212389.74;12;0;2;0;5312;2024-03-08 20:19:08
2024-03-08;13452;2024-03-08 10:11:10;267711883.79;19;0;23;0;1731;2024-03-08 20:19:22
2024-03-08;14566;2024-03-08 20:19:20;267711883.79;23;4;19;4;1731;2024-03-08 20:19:22
2024-03-08;14360;2024-03-08 18:34:58;115672797.16;11;3;14;3;1101;2024-03-08 20:19:44
2024-03-08;14567;2024-03-08 20:19:42;115672797.16;14;0;11;0;1101;2024-03-08 20:19:44
2024-03-09;13075;2024-03-08 06:52:39;96207037.1;3;0;10;0;4758;2024-03-08 20:20:41
2024-03-09;14568;2024-03-08 20:20:39;96207037.1;10;6;3;6;4758;2024-03-08 20:20:41
2024-03-08;14263;2024-03-08 17:42:48;139378877.73;12;8;28;8;2802;2024-03-08 20:22:12
2024-03-08;14569;2024-03-08 20:22:10;139378877.73;28;0;12;0;2802;2024-03-08 20:22:12
2024-03-09;13472;2024-03-08 10:19:33;65129201.26;10;0;11;0;2800;2024-03-08 20:23:35
2024-03-09;14572;2024-03-08 20:23:33;65129201.26;11;8;10;8;2800;2024-03-08 20:23:35
2024-03-10;13630;2024-03-08 11:56:22;139530608.38;30;7;11;7;4342;2024-03-08 20:24:10
2024-03-10;14573;2024-03-08 20:24:08;139530608.38;11;0;30;0;4342;2024-03-08 20:24:10
2024-03-08;12874;2024-03-08 05:12:18;9314781.37;6;2;10;2;2148;2024-03-08 20:25:27
2024-03-08;14575;2024-03-08 20:25:25;9314781.37;10;0;6;0;2148;2024-03-08 20:25:27
2024-03-08;11229;2024-03-07 17:07:07;233612899.85;23;0;26;0;390;2024-03-08 20:25:29
2024-03-08;14576;2024-03-08 20:25:27;233612899.85;26;3;23;3;390;2024-03-08 20:25:29
2024-03-09;12420;2024-03-08 01:18:32;92952237.57;15;5;23;5;1545;2024-03-08 20:25:41
2024-03-09;14577;2024-03-08 20:25:39;92952237.57;23;0;15;0;1545;2024-03-08 20:25:41
2024-03-10;12184;2024-03-08 00:35:09;85631668.72;7;5;10;5;2310;2024-03-08 20:26:01
2024-03-10;14578;2024-03-08 20:25:59;85631668.72;10;0;7;0;2310;2024-03-08 20:26:01
2024-03-08;9200;2024-03-07 00:36:20;155458388.8;9;0;30;0;2426;2024-03-08 20:29:20
2024-03-08;14581;2024-03-08 20:29:18;155458388.8;30;2;9;2;2426;2024-03-08 20:29:20
2024-03-08;13383;2024-03-08 09:41:56;74759221.4;19;2;20;2;7404;2024-03-08 20:30:58
2024-03-08;14582;2024-03-08 20:30:56;74759221.4;20;0;19;0;7404;2024-03-08 20:30:58
2024-03-09;12062;2024-03-08 00:10:44;44178786.42;29;3;19;3;3266;2024-03-08 20:31:48
2024-03-09;14583;2024-03-08 20:31:46;44178786.42;19;0;29;0;3266;2024-03-08 20:31:48
2024-03-08;14013;2024-03-08 15:21:24;124775282.63;27;0;26;0;4994;2024-03-08 20:32:15
2024-03-08;14585;2024-03-08 20:32:13;124775282.63;26;4;27;4;4994;2024-03-08 20:32:15
2024-03-08;14503;2024-03-08 19:42:15;16119358.71;23;0;10;0;1679;2024-03-08 20:32:43
2024-03-08;14586;2024-03-08 20:32:41;16119358.71;10;5;23;5;1679;2024-03-08 20:32:43
2024-03-08;9774;2024-03-07 03:54:07;217273627.41;13;8;18;8;2838;2024-03-08 20:35:45
2024-03-08;14587;2024-03-08 20:35:43;217273627.41;18;0;13;0;2838;2024-03-08 20:35:45
2024-03-08;13744;2024-03-08 12:55:52;47883590.63;13;3;22;3;4594;2024-03-08 20:36:05
2024-03-08;14588;2024-03-08 20:36:03;47883590.63;22;0;13;0;4594;2024-03-08 20:36:05
2024-03-08;13244;2024-03-08 08:27:52;21497236.52;17;2;29;2;5237;2024-03-08 20:36:24
2024-03-08;14589;2024-03-08 20:36:22;21497236.52;29;0;17;0;5237;2024-03-08 20:36:24
2024-03-08;12371;2024-03-08 01:10:06;63748905.99;15;0;21;0;7359;2024-03-08 20:36:26
2024-03-08;14590;2024-03-08 20:36:24;63748905.99;21;4;15;4;7359;2024-03-08 20:36:26
2024-03-09;13801;2024-03-08 13:28:27;170640823.78;24;2;16;2;7450;2024-03-08 20:37:15
2024-03-09;14591;2024-03-08 20:37:13;170640823.78;16;0;24;0;7450;2024-03-08 20:37:15
2024-03-08;12376;2024-03-08 01:11:24;173808546.24;24;0;22;0;772;2024-03-08 20:38:07
2024-03-08;14592;2024-03-08 20:38:05;173808546.24;22;1;24;1;772;2024-03-08 20:38:07
2024-03-08;13448;2024-03-08 10:09:56;108898590.46;15;0;28;0;3422;2024-03-08 20:39:50
2024-03-08;14595;2024-03-08 20:39:48;108898590.46;28;2;15;2;3422;2024-03-08 20:39:50
2024-03-07;10873;2024-03-07 13:55:07;155658995.9;4;0;7;0;1976;2024-03-08 20:40:27
2024-03-07;14596;2024-03-08 20:40:25;155658995.9;7;5;4;5;1976;2024-03-08 20:40:27
2024-03-08;10181;2024-03-07 07:30:48;39343744.35;6;4;9;4;1223;2024-03-08 20:40:51
2024-03-08;14597;2024-03-08 20:40:49;39343744.35;9;0;6;0;1223;2024-03-08 20:40:51
2024-03-08;12079;2024-03-08 00:14:07;156139729.61;20;0;25;0;7122;2024-03-08 20:41:33
2024-03-08;14598;2024-03-08 20:41:31;156139729.61;25;4;20;4;7122;2024-03-08 20:41:33
2024-03-09;13479;2024-03-08 10:23:04;372227186.64;27;0;29;0;1261;2024-03-08 20:41:53
2024-03-09;14599;2024-03-08 20:41:51;372227186.64;29;8;27;8;1261;2024-03-08 20:41:53
2024-03-09;12983;2024-03-08 06:14:29;208461360.76;6;8;26;8;58;2024-03-08 20:41:57
2024-03-09;14600;2024-03-08 20:41:55;208461360.76;26;0;6;0;58;2024-03-08 20:41:57
2024-03-08;14310;2024-03-08 18:05:53;166673703.47;16;0;4;0;1404;2024-03-08 20:42:17
2024-03-08;14601;2024-03-08 20:42:15;166673703.47;4;2;16;2;1404;2024-03-08 20:42:17
2024-03-08;12404;2024-03-08 01:15:52;260405744.94;10;2;27;2;4810;2024-03-08 20:42:41
2024-03-08;14602;2024-03-08 20:42:39;260405744.94;27;0;10;0;4810;2024-03-08 20:42:41
2024-03-10;12355;2024-03-08 01:07:13;104589460.81;20;2;25;2;4412;2024-03-08 20:42:42
2024-03-10;14603;2024-03-08 20:42:40;104589460.81;25;0;20;0;4412;2024-03-08 20:42:42
2024-03-08;13579;2024-03-08 11:24:45;14240980.47;6;0;18;0;1817;2024-03-08 20:43:21
2024-03-08;14605;2024-03-08 20:43:19;14240980.47;18;7;6;7;1817;2024-03-08 20:43:21
2024-03-08;13199;2024-03-08 08:05:21;196973203.78;21;0;8;0;3794;2024-03-08 20:44:42
2024-03-08;14606;2024-03-08 20:44:40;196973203.78;8;4;21;4;3794;2024-03-08 20:44:42
2024-03-09;13983;2024-03-08 15:06:35;79165383.16;30;0;10;0;2300;2024-03-08 20:44:49
2024-03-09;14607;2024-03-08 20:44:47;79165383.16;10;5;30;5;2300;2024-03-08 20:44:49
2024-03-07;9705;2024-03-07 03:10:10;44325929.69;9;0;21;0;2083;2024-03-08 20:45:06
2024-03-07;14608;2024-03-08 20:45:04;44325929.69;21;4;9;4;2083;2024-03-08 20:45:06
2024-03-09;13438;2024-03-08 10:05:37;148154170.6;1;6;6;6;6953;2024-03-08 20:45:12
2024-03-09;14609;2024-03-08 20:45:10;148154170.6;6;0;1;0;6953;2024-03-08 20:45:12
2024-03-09;12642;2024-03-08 02:58:58;232481589.72;15;0;3;0;6210;2024-03-08 20:46:09
2024-03-09;14610;2024-03-08 20:46:07;232481589.72;3;1;15;1;6210;2024-03-08 20:46:09
2024-03-09;12548;2024-03-08 02:05:53;107755338.94;6;0;28;0;7357;2024-03-08 20:46:42
2024-03-09;14611;2024-03-08 20:46:40;107755338.94;28;4;6;4;7357;2024-03-08 20:46:42
2024-03-08;13233;2024-03-08 08:22:33;81087077.52;2;8;17;8;144;2024-03-08 20:48:22
2024-03-08;14613;2024-03-08 20:48:20;81087077.52;17;0;2;0;144;2024-03-08 20:48:22
2024-03-09;13256;2024-03-08 08:33:11;103953899.45;17;0;11;0;2349;2024-03-08 20:50:29
2024-03-09;14616;2024-03-08 20:50:27;103953899.45;11;1;17;1;2349;2024-03-08 20:50:29
2024-03-07;11779;2024-03-07 21:57:23;438911660.54;27;0;5;0;5897;2024-03-08 20:51:59
2024-03-07;14618;2024-03-08 20:51:57;438911660.54;5;7;27;7;5897;2024-03-08 20:51:59
2024-03-08;14356;2024-03-08 18:33:11;110470900.35;24;0;6;0;4395;2024-03-08 20:52:10
2024-03-08;14619;2024-03-08 20:52:08;110470900.35;6;1;24;1;4395;2024-03-08 20:52:10
2024-03-08;13449;2024-03-08 10:10:09;104950890.02;16;6;28;6;4997;2024-03-08 20:52:27
2024-03-08;14620;2024-03-08 20:52:25;104950890.02;28;0;16;0;4997;2024-03-08 20:52:27
2024-03-08;14357;2024-03-08 18:33:36;173240343.06;24;0;8;0;5981;2024-03-08 20:52:38
2024-03-08;14621;2024-03-08 20:52:36;173240343.06;8;6;24;6;5981;2024-03-08 20:52:38
2024-03-08;14570;2024-03-08 20:22:49;11875944.11;6;0;26;0;7138;2024-03-08 20:52:39
2024-03-08;14622;2024-03-08 20:52:37;11875944.11;26;4;6;4;7138;2024-03-08 20:52:39
2024-03-09;13695;2024-03-08 12:34:16;23951470.99;15;2;1;2;5516;2024-03-08 20:52:46
2024-03-09;14623;2024-03-08 20:52:44;23951470.99;1;0;15;0;5516;2024-03-08 20:52:46
2024-03-08;14422;2024-03-08 19:06:49;35009343.06;13;8;23;8;2883;2024-03-08 20:52:56
2024-03-08;14624;2024-03-08 20:52:54;35009343.06;23;0;13;0;2883;2024-03-08 20:52:56
2024-03-09;13405;2024-03-08 09:52:48;50379250.05;13;0;17;0;5813;2024-03-08 20:52:58
2024-03-09;14625;2024-03-08 20:52:56;50379250.05;17;2;13;2;5813;2024-03-08 20:52:58
2024-03-09;13912;2024-03-08 14:32:08;293855494.99;23;1;4;1;2172;2024-03-08 20:53:45
2024-03-09;14627;2024-03-08 20:53:43;293855494.99;4;0;23;0;2172;2024-03-08 20:53:45
2024-03-08;9054;2024-03-07 00:10:08;117877700.68;5;1;26;1;4188;2024-03-08 20:54:13
2024-03-08;14628;2024-03-08 20:54:11;117877700.68;26;0;5;0;4188;2024-03-08 20:54:13
2024-03-09;12302;2024-03-08 00:56:40;130688692.37;12;0;11;0;5676;2024-03-08 20:54:19
2024-03-09;14629;2024-03-08 20:54:17;130688692.37;11;4;12;4;5676;2024-03-08 20:54:19
